key,type,label,priceUzs,priceUsd,priceUsdPerWatt,priceUzsFrom,priceUzsTo,lastUpdated
exchange-rate,config,UZS per USD,12200,,,,,2026-04-23
installation-per-kw,config,Installation per kW (USD),,35,,,,2026-04-23
shit-avtomatlar-per-kw,product,Shit + avtomatlar (1 kW),,7,,,,
konstruksiya-per-kw,product,Konstruksiya (1 kW),,35,,,,
ornatish-per-kw,product,O'rnatish ishi (1 kW),,35,,,,
ja-solar-555w-mono-bifacial,product,Quyosh paneli JA Solar 555W Mono Bifacial,1002108,82.14,0.148,,,2026-04-23
jinko-tiger-neo-625w,product,Quyosh paneli Jinko Tiger Neo 625W N-Type,1204750,93.75,0.158,,,2026-04-23
jinko-tiger-neo-725w-bifacial,product,Quyosh paneli Jinko Tiger Neo 725W Bifacial,1397510,114.55,0.158,,,2026-04-23
longi-himo-x10-640w,product,Quyosh paneli LONGi Hi-MO X10 640W,1296128,106.24,0.166,,,2026-04-23
trina-vertex-540w,product,Quyosh paneli Trina Vertex 540W,1021140,83.7,0.155,,,2026-04-23
era-solar-625w-bifacial,product,Quyosh paneli ERA Solar 625W Bifacial,1037000,85,0.136,,,2026-04-23
auxsol-ongrid-3kw-1f,product,Auxsol 3 kW — Ongrid inverter,2867000,235,,,,2026-04-22
auxsol-ongrid-3.6kw-1f,product,Auxsol 3.6 kW — Ongrid inverter,3294000,270,,,,2026-04-22
auxsol-ongrid-5kw-1f,product,Auxsol 5 kW — Ongrid inverter,4636000,380,,,,2026-04-22
auxsol-ongrid-5kw-3f,product,Auxsol 5 kW — Ongrid inverter (3F),5490000,450,,,,2026-04-22
auxsol-ongrid-10kw-1f,product,Auxsol 10 kW — Ongrid inverter - 1Faza,7930000,650,,,,2026-04-22
auxsol-ongrid-10kw-3f-3f-v,product,Auxsol 10 kW — Ongrid inverter - 3Faza,6283000,515,,,,2026-04-22
auxsol-ongrid-10kw-3f-lcd,product,Auxsol 10 kW — Ongrid inverter (LCD),7320000,600,,,,2026-04-22
auxsol-ongrid-15kw-3f,product,Auxsol 15 kW — Ongrid inverter,7930000,650,,,,2026-04-22
auxsol-ongrid-15kw-3f-lcd,product,Auxsol 15 kW — Ongrid inverter (LCD),8784000,720,,,,2026-04-22
auxsol-ongrid-20kw-3f,product,Auxsol 20 kW — Ongrid inverter,10370000,850,,,,2026-04-22
auxsol-ongrid-25kw-3f,product,Auxsol 25 kW — Ongrid inverter,11956000,980,,,,2026-04-22
auxsol-ongrid-30kw-3f,product,Auxsol 30 kW — Ongrid inverter,13420000,1100,,,,2026-04-22
auxsol-ongrid-40kw-3f,product,Auxsol 40 kW — Ongrid inverter,17690000,1450,,,,2026-04-22
auxsol-ongrid-50kw-3f,product,Auxsol 50 kW — Ongrid inverter,21716000,1780,,,,2026-04-22
auxsol-ongrid-60kw-3f,product,Auxsol 60 kW — Ongrid inverter,25376000,2080,,,,2026-04-22
auxsol-ongrid-70kw-3f,product,Auxsol 70 kW — Ongrid inverter,27450000,2250,,,,2026-04-22
auxsol-ongrid-80kw-3f,product,Auxsol 80 kW — Ongrid inverter,29280000,2400,,,,2026-04-22
auxsol-ongrid-100kw-3f,product,Auxsol 100 kW — Ongrid inverter,37210000,3050,,,,2026-04-22
auxsol-ongrid-110kw-3f,product,Auxsol 110 kW — Ongrid inverter,37820000,3100,,,,2026-04-22
auxsol-ongrid-120kw-3f,product,Auxsol 120 kW — Ongrid inverter,33916000,2780,,,,2026-04-22
deye-ongrid-3kw-1f,product,Deye 3 kW — Ongrid inverter,3050000,250,,,,2026-04-22
deye-ongrid-5kw-1f,product,Deye 5 kW — Ongrid inverter,4270000,350,,,,2026-04-22
deye-ongrid-5kw-3f,product,Deye 5 kW — Ongrid inverter (3F),4758000,390,,,,2026-04-22
deye-ongrid-10kw-1f,product,Deye 10 kW — Ongrid inverter - 1Faza,7076000,580,,,,2026-04-22
deye-ongrid-10kw-3f-3f-v,product,Deye 10 kW — Ongrid inverter - 3Faza,6710000,550,,,,2026-04-22
deye-ongrid-15kw-3f,product,Deye 15 kW — Ongrid inverter,7930000,650,,,,2026-04-22
deye-ongrid-20kw-3f,product,Deye 20 kW — Ongrid inverter,8540000,700,,,,2026-04-22
deye-ongrid-25kw-3f,product,Deye 25 kW — Ongrid inverter,9150000,750,,,,2026-04-22
deye-ongrid-30kw-3f,product,Deye 30 kW — Ongrid inverter,10980000,900,,,,2026-04-22
deye-ongrid-40kw-3f,product,Deye 40 kW — Ongrid inverter,17690000,1450,,,,2026-04-22
deye-ongrid-50kw-3f,product,Deye 50 kW — Ongrid inverter,18910000,1550,,,,2026-04-22
deye-ongrid-60kw-3f,product,Deye 60 kW — Ongrid inverter,22936000,1880,,,,2026-04-22
deye-ongrid-80kw-3f,product,Deye 80 kW — Ongrid inverter,25010000,2050,,,,2026-04-22
deye-ongrid-100kw-3f,product,Deye 100 kW — Ongrid inverter,31110000,2550,,,,2026-04-22
deye-ongrid-110kw-3f,product,Deye 110 kW — Ongrid inverter,31476000,2580,,,,2026-04-22
deye-ongrid-120kw-3f,product,Deye 120 kW — Ongrid inverter,35990000,2950,,,,2026-04-22
deye-ongrid-130kw-3f,product,Deye 130 kW — Ongrid inverter,40260000,3300,,,,2026-04-22
solax-ongrid-3kw-1f,product,Solax 3 kW — Ongrid inverter,3538000,290,,,,2026-04-22
solax-ongrid-5kw-1f,product,Solax 5 kW — Ongrid inverter,4636000,380,,,,2026-04-22
solax-ongrid-6kw-1f,product,Solax 6 kW — Ongrid inverter,4758000,420,,,,2026-04-22
solax-ongrid-10kw-1f,product,Solax 10 kW — Ongrid inverter - 1Faza,6954000,700,,,,2026-04-22
solax-ongrid-10kw-3f-3f-v,product,Solax 10 kW — Ongrid inverter - 3Faza,7625000,625,,,,2026-04-22
solax-ongrid-15kw-3f,product,Solax 15 kW — Ongrid inverter,10980000,900,,,,2026-04-22
solax-ongrid-20kw-3f,product,Solax 20 kW — Ongrid inverter,12444000,1020,,,,2026-04-22
solax-ongrid-25kw-3f,product,Solax 25 kW — Ongrid inverter,14274000,1170,,,,2026-04-22
solax-ongrid-30kw-3f,product,Solax 30 kW — Ongrid inverter,15860000,1300,,,,2026-04-22
solax-ongrid-40kw-3f,product,Solax 40 kW — Ongrid inverter,20008000,1640,,,,2026-04-22
solax-ongrid-50kw-3f,product,Solax 50 kW — Ongrid inverter,25010000,2050,,,,2026-04-22
solax-ongrid-60kw-3f,product,Solax 60 kW — Ongrid inverter,26108000,2300,,,,2026-04-22
solax-ongrid-80kw-3f,product,Solax 80 kW — Ongrid inverter,35380000,2900,,,,2026-04-22
solax-ongrid-100kw-3f,product,Solax 100 kW — Ongrid inverter,39040000,3200,,,,2026-04-22
solax-ongrid-110kw-3f,product,Solax 110 kW — Ongrid inverter,40260000,3300,,,,2026-04-22
solax-ongrid-120kw-3f,product,Solax 120 kW — Ongrid inverter,43920000,3600,,,,2026-04-22
solax-ongrid-125kw-3f,product,Solax 125 kW — Ongrid inverter,45750000,3750,,,,2026-04-22
sungrow-ongrid-3kw-1f,product,Sungrow 3 kW — Ongrid inverter,3965000,325,,,,2026-04-22
sungrow-ongrid-5kw-1f,product,Sungrow 5 kW — Ongrid inverter,5185000,425,,,,2026-04-22
sungrow-ongrid-10kw-1f,product,Sungrow 10 kW — Ongrid inverter - 1Faza,7320000,600,,,,2026-04-22
sungrow-ongrid-10kw-3f,product,Sungrow 10 kW — Ongrid inverter,10004000,820,,,,2026-04-22
sungrow-ongrid-10kw-3f-3f-v,product,Sungrow 10 kW — Ongrid inverter - 3Faza,8052000,660,,,,2026-04-22
sungrow-ongrid-12kw-3f,product,Sungrow 12 kW — Ongrid inverter,10126000,830,,,,2026-04-22
sungrow-ongrid-15kw-3f,product,Sungrow 15 kW — Ongrid inverter,10736000,880,,,,2026-04-22
